"gender","year","name","count","rank","totalBabies","prop","ranking","corKaren","corKaren10","corKaren20","corKaren30"
"F",1918,"Abigail",26,570,1157638,2.24595253438467e-05,1566,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1919,"Abigail",31,567,1130130,2.74304726004973e-05,1417,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1920,"Abigail",33,578,1198290,2.75392434218762e-05,1404,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1921,"Abigail",24,584,1233060,1.94637730524062e-05,1773,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1922,"Abigail",29,574,1200983,2.41468863422713e-05,1555,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1923,"Abigail",32,578,1206381,2.65256166998651e-05,1446,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1924,"Abigail",31,584,1248889,2.4822061848571e-05,1514,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1925,"Abigail",37,577,1217390,3.03928897066675e-05,1314,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1926,"Abigail",30,578,1185399,2.53079342904794e-05,1488,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1927,"Abigail",33,582,1192388,2.76755552722771e-05,1405,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1928,"Abigail",40,576,1153253,3.4684496810327e-05,1218,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1929,"Abigail",33,564,1116529,2.95558825610441e-05,1316,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1930,"Abigail",25,567,1125917,2.22041233945309e-05,1574,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1931,"Abigail",27,559,1064651,2.53604232748572e-05,1453,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1932,"Abigail",30,557,1067096,2.81136842420926e-05,1366,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1933,"Abigail",32,545,1007851,3.1750725057573e-05,1272,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1934,"Abigail",30,544,1044145,2.87316416781194e-05,1339,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1935,"Abigail",37,545,1048509,3.52882e-05,1169,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
"F",1936,"Abigail",36,538,1040343,3.460397e-05,1201,-0.123564356435644,-0.435897435897436,-0.740123456790123,-0.847082494969819
