"name","year","prop"
"Karen",1918,4.83743622790544e-05
"Karen",1919,2.38910567810783e-05
"Karen",1920,3.50499461732969e-05
"Karen",1921,3.40616028417109e-05
"Karen",1922,4.16325626590884e-05
"Karen",1923,3.97884250497977e-05
"Karen",1924,4.64412770070038e-05
"Karen",1925,4.02500431250462e-05
"Karen",1926,5.23030642003241e-05
"Karen",1927,4.78032318339333e-05
"Karen",1928,6.76347687801376e-05
"Karen",1929,7.07549915855298e-05
"Karen",1930,8.88164935781234e-05
"Karen",1931,0.000144648340160297
"Karen",1932,0.000283948210845135
"Karen",1933,0.000449471201596268
"Karen",1934,0.000563140176891141
"Karen",1935,0.001046248
"Karen",1936,0.00165234
"Karen",1937,0.002097849
"Karen",1938,0.004085661
"Karen",1939,0.00505383
"Karen",1940,0.006369527
"Karen",1941,0.008965202
"Karen",1942,0.01139175
"Karen",1943,0.01205282
"Karen",1944,0.01201286
"Karen",1945,0.01199515
"Karen",1946,0.01250352
"Karen",1947,0.012212
"Karen",1948,0.01295551
"Karen",1949,0.01313205
"Karen",1950,0.01408937
"Karen",1951,0.015547
"Karen",1952,0.01561636
"Karen",1953,0.01586773
"Karen",1954,0.01671332
"Karen",1955,0.01699187
"Karen",1956,0.01994668
"Karen",1957,0.01985314
"Karen",1958,0.01912666
"Karen",1959,0.01817863
"Karen",1960,0.017992
"Karen",1961,0.01719685
"Karen",1962,0.0178912
"Karen",1963,0.01685513
"Karen",1964,0.01596338
"Karen",1965,0.01862391
"Karen",1966,0.01503974
"Karen",1967,0.01304764
"Karen",1968,0.0119241
"Karen",1969,0.0104555
"Karen",1970,0.009553555
"Karen",1971,0.008541352
"Karen",1972,0.007351167
"Karen",1973,0.006415611
"Karen",1974,0.005895437
"Karen",1975,0.005601688
"Karen",1976,0.005122412
"Karen",1977,0.004855477
"Karen",1978,0.004159747
"Karen",1979,0.003489196
"Karen",1980,0.003044146
"Karen",1981,0.002719703
"Karen",1982,0.002453379
"Karen",1983,0.002268209
"Karen",1984,0.002100985
"Karen",1985,0.001824438
"Karen",1986,0.001632435
"Karen",1987,0.001485345
"Karen",1988,0.001441813
"Karen",1989,0.001495673
"Karen",1990,0.001430878
"Karen",1991,0.001386343
"Karen",1992,0.001498725
"Karen",1993,0.001551939
"Karen",1994,0.001392992
"Karen",1995,0.001291067
"Karen",1996,0.001369931
"Karen",1997,0.001277354
"Karen",1998,0.001173511
"Karen",1999,0.001224852
"Karen",2000,0.001197051
"Karen",2001,0.001218446
"Karen",2002,0.001237212
"Karen",2003,0.00127644
"Karen",2004,0.001179778
"Karen",2005,0.001117775
"Karen",2006,0.001067994
"Karen",2007,0.001130109
"Karen",2008,0.0009613201
"Karen",2009,0.0007809
"Karen",2010,0.0007243662
"Karen",2011,0.0006279204
"Karen",2012,0.0005096205
"Karen",2013,0.0004168284
"Karen",2014,0.000354027
"Karen",2015,0.0003515959
"Karen",2016,0.0003482028
"Karen",2017,0.0003210912
"Karen",2018,0.0002774219
