"gender","year","name","count","rank","totalBabies","prop","ranking","corKaren","corKaren10P","corKaren20P","corKaren30P","corKaren10","corKaren20","corKaren30"
"M",1918,"Adam",653,190,1013488,0.000644309552752475,197,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1919,"Adam",542,208,980143,0.000552980534473031,224,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1920,"Adam",579,212,1064382,0.000543977632090734,223,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1921,"Adam",583,221,1101462,0.000529296516811293,228,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1922,"Adam",469,240,1088196,0.000430988535153594,260,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1923,"Adam",428,259,1096145,0.000390459291425861,273,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1924,"Adam",464,253,1132781,0.000409611390021549,263,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1925,"Adam",452,249,1115936,0.000405041149313222,268,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1926,"Adam",425,262,1110549,0.000382693604694615,277,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1927,"Adam",389,271,1126922,0.000345188043183113,287,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1928,"Adam",359,283,1107618,0.000324118965202805,297,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1929,"Adam",307,295,1075585,0.00028542607046398,315,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1930,"Adam",274,312,1097356,0.000249691075639993,337,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1931,"Adam",299,288,1039490,0.000287641054748001,314,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1932,"Adam",258,302,1044071,0.000247109631433111,344,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1933,"Adam",235,318,991368,0.000237046182648623,351,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1934,"Adam",237,323,1032445,0.000229552179534987,357,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1935,"Adam",238,321,1041150,0.0002285934,356,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1936,"Adam",216,331,1037085,0.0002082761,371,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1937,"Adam",222,324,1066515,0.0002081546,362,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1938,"Adam",214,335,1109012,0.0001929645,385,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1939,"Adam",216,344,1106703,0.0001951743,385,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1940,"Adam",227,341,1159000,0.0001958585,381,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1941,"Adam",230,339,1228121,0.000187278,381,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1942,"Adam",240,354,1380903,0.0001737993,391,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1943,"Adam",252,357,1427032,0.0001765903,385,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1944,"Adam",221,356,1362698,0.0001621783,403,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1945,"Adam",209,361,1345631,0.0001553175,415,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1946,"Adam",247,376,1623835,0.0001521091,406,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1947,"Adam",269,386,1829376,0.0001470447,417,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1948,"Adam",242,396,1754507,0.0001379305,429,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1949,"Adam",300,362,1773712,0.0001691368,388,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1950,"Adam",307,357,1790437,0.0001714665,382,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1951,"Adam",299,370,1882870,0.0001588001,392,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1952,"Adam",294,372,1943879,0.000151244,404,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1953,"Adam",324,364,1972766,0.0001642364,389,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1954,"Adam",281,396,2038090,0.0001378742,428,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1955,"Adam",353,356,2058831,0.0001714565,383,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1956,"Adam",392,360,2114546,0.0001853826,378,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1957,"Adam",428,353,2155711,0.0001985424,371,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1958,"Adam",469,336,2120611,0.0002211627,352,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1959,"Adam",583,318,2133306,0.0002732848,322,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1960,"Adam",1019,243,2132155,0.0004779202,249,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1961,"Adam",1579,191,2122664,0.0007438766,193,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1962,"Adam",2153,152,2068612,0.001040795,153,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1963,"Adam",2343,144,2031353,0.001153418,145,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1964,"Adam",2851,120,1992978,0.001430523,122,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1965,"Adam",2566,125,1860820,0.001378962,125,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1966,"Adam",2501,122,1783673,0.001402163,123,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1967,"Adam",2526,118,1744172,0.001448252,118,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1968,"Adam",2543,116,1738587,0.001462682,119,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1969,"Adam",2867,113,1789069,0.001602509,113,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1970,"Adam",4319,71,1859108,0.002323157,71,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1971,"Adam",5854,57,1768955,0.003309298,57,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1972,"Adam",5745,51,1622400,0.00354105,51,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1973,"Adam",6839,45,1559219,0.00438617,45,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1974,"Adam",8427,36,1572966,0.005357395,36,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1975,"Adam",8654,38,1562114,0.005539929,38,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1976,"Adam",9946,36,1569818,0.006335766,36,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1977,"Adam",11038,33,1643809,0.006714892,33,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1978,"Adam",13924,29,1642571,0.008476955,29,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1979,"Adam",17063,23,1722262,0.00990732,23,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1980,"Adam",18872,22,1784497,0.01057553,22,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1981,"Adam",20042,20,1791595,0.01118668,20,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1982,"Adam",20103,19,1814785,0.01107735,19,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1983,"Adam",23495,18,1792662,0.01310621,18,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1984,"Adam",23935,18,1804692,0.01326265,18,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1985,"Adam",20171,22,1847889,0.0109157,22,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1986,"Adam",18161,24,1841023,0.009864624,24,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1987,"Adam",16924,27,1866421,0.009067622,27,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1988,"Adam",16460,26,1913426,0.008602371,26,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1989,"Adam",16929,27,2000434,0.008462664,27,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1990,"Adam",14708,32,2053109,0.00716377,32,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1991,"Adam",12303,36,2019815,0.006091152,36,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1992,"Adam",11901,36,1996771,0.005960123,36,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1993,"Adam",11530,39,1960734,0.005880451,39,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1994,"Adam",11018,38,1931513,0.005704336,38,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1995,"Adam",10483,38,1903235,0.00550799,38,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1996,"Adam",9555,39,1893868,0.00504523,39,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1997,"Adam",8804,39,1884755,0.004671164,39,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1998,"Adam",8357,45,1910887,0.004373362,45,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1999,"Adam",8223,44,1919565,0.004283783,44,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2000,"Adam",8133,45,1963202,0.004142722,45,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2001,"Adam",7752,51,1942034,0.003991691,51,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2002,"Adam",7750,55,1940525,0.003993765,55,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2003,"Adam",7684,58,1974274,0.003892064,58,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2004,"Adam",7471,58,1983722,0.003766153,58,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2005,"Adam",6840,64,1996022,0.003426816,64,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2006,"Adam",6797,64,2053753,0.003309551,64,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2007,"Adam",6786,65,2073784,0.003272279,65,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2008,"Adam",6093,72,2038194,0.002989411,72,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2009,"Adam",5672,72,1981481,0.002862505,74,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2010,"Adam",5103,79,1916476,0.0026627,80,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2011,"Adam",5204,80,1896574,0.002743895,81,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2012,"Adam",5316,82,1893975,0.002806795,82,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2013,"Adam",5241,82,1888009,0.00277594,82,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2014,"Adam",5328,79,1916564,0.002779975,79,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2015,"Adam",5391,72,1911537,0.002820244,73,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2016,"Adam",5200,75,1891585,0.002749017,75,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2017,"Adam",4919,75,1842837,0.002669254,77,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",2018,"Adam",4675,78,1800392,0.002596657,78,-0.0954455445544554,-0.520879120879121,-0.634567901234568,-0.44466800804829,0.218559218559219,0.58641975308642,0.830181086519114
"M",1918,"Albert",9935,19,1013488,0.00980278010198443,19,0.148118811881188,0.42026862026862,0.740740740740741,0.876056338028169,0.0334554334554335,-0.103086419753086,-0.27887323943662
