"gender","name","corKaren","corKaren10","corKaren20","corKaren30"
"F","Florence",0.04,-0.41,-0.74,-0.88
"F","Frances",0.1,-0.42,-0.74,-0.88
"F","Gloria",0.33,-0.66,-0.76,-0.66
"F","Grace",-0.53,0.27,-0.31,-0.7
"F","Hailey",-0.7,0.87,0.9,0.83
"F","Hannah",-0.52,0.61,0.38,-0.01
"F","Heather",0.25,0.23,0.61,0.82
"F","Helen",0.07,-0.34,-0.7,-0.88
"F","Irene",0.12,-0.4,-0.72,-0.87
"F","Isabella",-0.49,0.31,-0.18,-0.71
"F","Jamie",0.29,0.17,0.66,0.84
"F","Janet",0.48,-0.79,-0.68,-0.37
"F","Jean",0.18,-0.49,-0.82,-0.93
"F","Jennifer",0.41,0.06,0.52,0.78
"F","Jessica",0.14,0.24,0.66,0.88
"F","Joan",0.29,-0.63,-0.85,-0.7
"F","Joyce",0.34,-0.68,-0.86,-0.62
"F","Judith",0.51,-0.82,-0.61,-0.3
"F","Judy",0.57,-0.81,-0.51,-0.16
"F","Julie",0.71,-0.27,0.25,0.59
"F","Kathleen",0.55,-0.72,-0.48,-0.11
"F","Kathy",0.91,-0.53,-0.06,0.26
"F","Kayla",-0.4,0.71,0.89,0.91
"F","Kelly",0.42,0,0.47,0.74
"F","Kimberly",0.3,0.09,0.39,0.6
"F","Laura",0.37,-0.05,0.5,0.56
"F","Lauren",-0.28,0.59,0.81,0.9
"F","Lillian",-0.49,0.02,-0.55,-0.84
"F","Lily",-0.66,0.51,0.04,-0.4
"F","Linda",0.76,-0.77,-0.31,0
"F","Lisa",0.61,-0.19,0.3,0.6
"F","Lois",0.12,-0.47,-0.81,-0.94
"F","Lori",0.56,-0.13,0.24,0.5
"F","Louise",0.04,-0.41,-0.74,-0.87
"F","Margaret",0.09,-0.38,-0.68,-0.84
"F","Marie",0.12,-0.4,-0.72,-0.85
"F","Marilyn",0.23,-0.62,-0.78,-0.64
"F","Marjorie",0.07,-0.42,-0.75,-0.9
"F","Mary",0.16,-0.43,-0.75,-0.89
"F","Megan",-0.05,0.47,0.81,0.92
"F","Melissa",0.36,0.08,0.55,0.82
"F","Mia",-0.64,0.77,0.8,0.71
"F","Michelle",0.46,-0.03,0.44,0.71
"F","Mila",-0.24,0.21,-0.05,-0.11
"F","Mildred",0.1,-0.4,-0.74,-0.88
"F","Nancy",0.47,-0.81,-0.7,-0.41
"F","Natalie",-0.33,0.68,0.69,0.42
"F","Nicole",-0.14,0.46,0.69,0.86
"F","Olivia",-0.42,0.38,0.23,0.06
"F","Pamela",0.88,-0.52,-0.06,0.27
"F","Patricia",0.5,-0.84,-0.66,-0.35
"F","Rachel",-0.15,0.52,0.56,0.38
"F","Rebecca",0.47,-0.06,0.48,0.76
"F","Rose",-0.03,-0.34,-0.7,-0.83
"F","Ruth",0.03,-0.38,-0.73,-0.88
"F","Samantha",-0.08,0.42,0.69,0.76
"F","Sandra",0.78,-0.75,-0.35,-0.07
"F","Sarah",-0.29,0.47,0.36,0.08
"F","Scarlett",-0.7,0.73,0.67,0.53
"F","Shannon",0.39,0.08,0.53,0.77
"F","Sharon",0.78,-0.77,-0.36,-0.05
"F","Shirley",0.29,-0.59,-0.92,-0.76
"F","Sofia",-0.43,0.69,0.64,0.35
"F","Sophia",-0.43,0.75,0.62,0.31
"F","Stephanie",0.3,0.18,0.68,0.9
"F","Susan",0.75,-0.67,-0.25,0.16
"F","Tammy",0.41,-0.02,0.26,0.45
"F","Taylor",-0.6,0.73,0.84,0.84
"F","Teresa",0.6,-0.43,0.09,0.3
"F","Tiffany",-0.2,0.42,0.62,0.75
"F","Tina",0.6,-0.2,0.33,0.58
"F","Tracy",0.53,-0.08,0.41,0.66
"F","Victoria",-0.03,0.28,0.64,0.58
"F","Virginia",0.13,-0.42,-0.75,-0.89
"M","Adam",-0.1,0.52,0.63,0.44
"M","Albert",0.15,-0.42,-0.74,-0.88
"M","Alexander",-0.41,0.64,0.58,0.27
"M","Andrew",-0.06,0.51,0.84,0.66
"M","Anthony",0.2,0.27,0.76,0.71
"M","Arthur",0.09,-0.42,-0.74,-0.88
"M","Austin",-0.5,0.58,0.36,-0.04
"M","Benjamin",-0.35,0.57,0.49,0.22
"M","Billy",0.33,-0.64,-0.8,-0.67
"M","Brandon",0.01,0.4,0.82,0.76
"M","Brian",0.51,-0.07,0.41,0.72
"M","Charles",0.2,-0.5,-0.85,-0.88
"M","Christopher",0.27,0.15,0.62,0.88
"M","Daniel",0.4,0.04,0.57,0.84
"M","David",0.84,-0.6,-0.09,0.27
"M","Dennis",0.71,-0.79,-0.35,-0.01
"M","Donald",0.27,-0.58,-0.89,-0.81
"M","Dylan",-0.68,0.85,0.91,0.9
"M","Edward",0.15,-0.42,-0.74,-0.87
"M","Elijah",-0.58,0.55,0.26,-0.14
"M","Eric",0.41,0.03,0.51,0.78
"M","Ethan",-0.24,0.59,0.77,0.63
"M","Eugene",0.18,-0.47,-0.8,-0.96
"M","Frank",0.16,-0.42,-0.74,-0.88
"M","Gary",0.8,-0.77,-0.32,-0.01
"M","George",0.12,-0.42,-0.74,-0.88
"M","Gerald",0.34,-0.65,-0.91,-0.68
"M","Harold",0.14,-0.43,-0.75,-0.89
"M","Harry",0.14,-0.42,-0.74,-0.87
"M","Henry",-0.29,-0.18,-0.66,-0.87
"M","Jack",-0.34,-0.09,-0.65,-0.94
"M","Jackson",-0.66,0.54,0.13,-0.33
"M","Jacob",-0.48,0.61,0.45,0.08
"M","James",0.31,-0.64,-0.91,-0.69
"M","Jason",0.16,0.26,0.65,0.65
"M","Jeffrey",0.69,-0.26,0.25,0.57
"M","Jeremy",0.12,0.31,0.61,0.82
"M","Jerry",0.52,-0.82,-0.63,-0.32
"M","John",0.2,-0.47,-0.71,-0.77
"M","Jonathan",0.13,0.26,0.68,0.88
"M","Joseph",-0.04,-0.1,-0.32,-0.38
"M","Joshua",-0.05,0.47,0.76,0.64
"M","Justin",-0.04,0.45,0.78,0.64
"M","Kenneth",0.5,-0.78,-0.65,-0.34
"M","Kevin",0.54,-0.14,0.34,0.62
"M","Kyle",0.03,0.38,0.72,0.76
"M","Larry",0.66,-0.86,-0.45,-0.14
"M","Liam",-0.9,0.91,0.9,0.84
"M","Logan",-0.58,0.63,0.4,0.05
"M","Lucas",-0.42,0.71,0.7,0.4
"M","Mark",0.75,-0.34,0.14,0.45
"M","Mason",-0.58,0.67,0.46,0.08
"M","Matthew",0.05,0.39,0.8,0.7
"M","Michael",0.69,-0.27,0.24,0.6
"M","Nathan",-0.2,0.65,0.71,0.51
"M","Nicholas",-0.17,0.5,0.73,0.51
"M","Noah",-0.57,0.64,0.45,0.11
"M","Oliver",-0.61,0.28,-0.28,-0.61
"M","Paul",0.47,-0.61,-0.5,-0.24
"M","Raymond",0.16,-0.43,-0.75,-0.89
"M","Richard",0.39,-0.71,-0.81,-0.56
"M","Robert",0.24,-0.54,-0.88,-0.85
"M","Ronald",0.56,-0.87,-0.57,-0.29
"M","Ryan",0.12,0.27,0.69,0.85
"M","Scott",0.6,-0.17,0.34,0.64
"M","Sebastian",-0.59,0.72,0.44,0.06
"M","Stephen",0.69,-0.45,0.05,0.4
"M","Steven",0.72,-0.35,0.14,0.45
"M","Thomas",0.49,-0.79,-0.64,-0.3
"M","Timothy",0.66,-0.23,0.26,0.59
"M","Tyler",-0.06,0.43,0.82,0.87
"M","Walter",0.1,-0.42,-0.74,-0.88
"M","William",0.17,-0.45,-0.74,-0.87
"M","Zachary",-0.07,0.44,0.83,0.78
