"gender","name","corKaren","corKaren10","corKaren20","corKaren30"
"F","Abigail",-0.12,0.44,0.74,0.85
"F","Alexis",-0.61,0.65,0.69,0.59
"F","Alice",-0.1,-0.34,-0.73,-0.87
"F","Alyssa",-0.62,0.85,0.93,0.89
"F","Amanda",0.04,0.41,0.76,0.69
"F","Amber",0.05,0.35,0.78,0.78
"F","Amelia",-0.71,0.6,0.11,-0.29
"F","Amy",0.32,0.13,0.6,0.67
"F","Angela",0.48,-0.03,0.44,0.74
"F","Anna",-0.66,0.46,-0.01,-0.33
"F","Aria",-0.57,0.65,0.65,0.44
"F","Ashley",-0.41,0.68,0.8,0.88
"F","Aubrey",-0.54,0.63,0.41,0.05
"F","Ava",-0.2,0.18,0.04,-0.24
"F","Avery",-0.48,0.66,0.55,0.32
"F","Barbara",0.38,-0.72,-0.83,-0.57
"F","Betty",0.17,-0.51,-0.85,-0.91
"F","Beverly",0.36,-0.7,-0.82,-0.59
"F","Brenda",0.88,-0.56,-0.1,0.17
"F","Brianna",-0.57,0.77,0.9,0.9
"F","Brittany",-0.2,0.43,0.69,0.89
"F","Camila",-0.54,0.67,0.67,0.5
"F","Carol",0.47,-0.79,-0.71,-0.4
"F","Carolyn",0.47,-0.8,-0.7,-0.39
"F","Catherine",0.26,-0.4,-0.49,-0.58
"F","Charlotte",-0.12,-0.37,-0.82,-0.71
"F","Chelsea",-0.18,0.47,0.69,0.61
"F","Cheryl",0.87,-0.56,-0.08,0.25
"F","Chloe",-0.55,0.53,0.21,-0.1
"F","Christina",0.3,0.18,0.67,0.79
"F","Christine",0.54,-0.37,0.15,0.45
"F","Cindy",0.69,-0.29,0.19,0.47
"F","Courtney",0.03,0.32,0.76,0.85
"F","Crystal",0.24,0.22,0.71,0.84
"F","Cynthia",0.85,-0.49,0,0.33
"F","Danielle",-0.22,0.54,0.77,0.86
"F","Dawn",0.64,-0.41,0.15,0.58
"F","Debbie",0.83,-0.42,0.08,0.41
"F","Deborah",0.84,-0.53,-0.04,0.29
"F","Debra",0.82,-0.42,0.04,0.35
"F","Diane",0.75,-0.8,-0.34,0.01
"F","Dolores",0.22,-0.52,-0.86,-0.88
"F","Donna",0.62,-0.75,-0.46,-0.08
"F","Doris",0.15,-0.47,-0.79,-0.95
"F","Dorothy",0.1,-0.43,-0.76,-0.91
"F","Elizabeth",-0.06,0.33,0.24,0.07
"F","Ella",-0.34,0,-0.61,-0.87
"F","Emily",-0.46,0.6,0.42,0.09
"F","Emma",-0.53,0.28,-0.27,-0.71
"F","Erin",0.2,0.22,0.65,0.88
"F","Evelyn",-0.4,-0.08,-0.59,-0.83
